I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5208,1989,8,3,8/3/1989,7,42,40.8,18,5,RUSSIA,,"RUSSIA:  GROZNYY, BUYNAKSK",,e
5209,1989,8,20,8/20/1989,11,16,56.5,12,6.3,DJIBOUTI,,"DJIBOUTI:  GALAFI, YABAKI",,e
5210,1989,9,4,9/4/1989,5,20,55.9,9,6,INDONESIA,,INDONESIA:  TEMBAGAPURA,,e
6475,1989,9,4,9/4/1989,13,14,58.2,11,6.9,USA,AK,ALASKA,,e
5211,1989,9,22,9/22/1989,2,25,50.8,15,6.1,CHINA,,CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY,,e
5212,1989,10,1,10/1/1989,2,59,6.3,42,4.7,IRAN,,IRAN:  DEH BORZORG-E SISAKHT,,e
5213,1989,10,18,10/18/1989,0,4,15.2,19,6.9,USA,CA,CALIFORNIA:  LOMA PRIETA,,e
5215,1989,10,18,10/18/1989,14,57,22.4,10,5.3,CHINA,,CHINA:  SHANXI AND HEBEI PROVINCES; DATONG,,e
6476,1989,10,29,10/29/1989,5,25,38.2,10,6.6,JAPAN,,JAPAN:  N. HONSHU ISLAND,,e
5216,1989,10,29,10/29/1989,19,9,12.9,6,5.7,ALGERIA,,"ALGERIA:  ALGIERS, CHERCHELL, TIPAZA",,e
6620,1989,11,1,11/1/1989,10,25,52.2,26,4.4,USA TERRITORY,PR,PUERTO RICO: MONA PASSAGE,,e
5217,1989,11,1,11/1/1989,18,25,34.9,29,7.4,JAPAN,,"JAPAN:  HONSHU: N, AOMORI, MISAWA",,e
5218,1989,11,20,11/20/1989,3,21,7.8,33,4.7,CHINA,,CHINA:  SICHUAN PROVINCE:  JIANGBEI COUNTY,,e
5219,1989,11,20,11/20/1989,4,19,4.6,18,5.9,IRAN,,"IRAN:  SHAHDAD, KERMAN PROVINCE",,e
5220,1989,12,15,12/15/1989,18,43,45,24,7.5,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",,e
5221,1989,12,27,12/27/1989,23,26,57,10,5.4,AUSTRALIA,,AUSTRALIA:  NEWCASTLE,,e
